1613560500000,51510.40000000,51589.96000000,51350.01000000,51400.00000000,659.93067700,1613561399999,33970294.32839533,33142,313.50889700,16139075.41078592,0
1613561400000,51400.01000000,51515.60000000,51241.43000000,51483.99000000,672.88315500,1613562299999,34567302.66610548,32931,367.85114600,18899925.13609479,0
1613562300000,51483.98000000,51675.55000000,51255.16000000,51273.46000000,1049.10941600,1613563199999,54013636.64319573,38540,575.00319700,29607106.66675262,0
1613563200000,51270.86000000,51437.46000000,51177.36000000,51258.15000000,963.75520800,1613564099999,49426691.93517063,28350,455.50296000,23361676.99458121,0
1613564100000,51258.15000000,51360.50000000,51177.00000000,51315.30000000,973.45468900,1613564999999,49909114.19058289,31512,494.80358300,25369218.48087044,0
1613565000000,51315.30000000,51530.00000000,51250.99000000,51253.93000000,997.98133200,1613565899999,51301111.02974179,34960,527.71158600,27129849.47681319,0
1613565900000,51253.93000000,51269.87000000,50777.20000000,51039.56000000,1513.38548300,1613566799999,77138764.52589868,42244,727.96610800,37107357.58380114,0
1613566800000,51039.56000000,51166.22000000,50666.00000000,50937.78000000,1379.73404900,1613567699999,70242937.85366073,29138,692.56939100,35263910.62365279,0
1613567700000,50934.50000000,51041.22000000,50567.26000000,50769.67000000,958.14482200,1613568599999,48707292.61285390,24439,471.71385700,23984700.66553076,0
1613568600000,50769.63000000,51011.00000000,50542.30000000,50918.05000000,1038.10670300,1613569499999,52701066.26795255,24970,566.94770300,28788845.62073133,0
1613569500000,50918.05000000,51234.00000000,50839.99000000,51149.96000000,855.91699600,1613570399999,43689232.15821321,21502,412.66935600,21063391.10980812,0
1613570400000,51149.97000000,51267.71000000,50983.90000000,51060.92000000,954.59050900,1613571299999,48806076.38825658,23259,435.43779000,22263263.01359270,0
1613571300000,51060.92000000,51195.82000000,50806.16000000,50914.78000000,1020.37105700,1613572199999,52052421.73258056,24128,549.22305400,28016962.42650926,0
1613572200000,50914.78000000,51067.64000000,50770.82000000,50778.74000000,1302.80480300,1613573099999,66341290.99771051,29025,721.44829500,36742135.66074535,0
1613573100000,50778.74000000,51284.78000000,50777.15000000,51262.00000000,952.12089400,1613573999999,48514466.07260870,23009,479.19928700,24418148.95660653,0
1613574000000,51262.01000000,51633.17000000,51208.69000000,51397.24000000,1258.41715700,1613574899999,64754528.09921596,33391,700.88959400,36069431.12755043,0
1613574900000,51397.24000000,51398.64000000,51061.93000000,51270.01000000,622.97068500,1613575799999,31933029.04083602,20258,284.60993600,14590095.82678790,0
1613575800000,51270.00000000,51290.00000000,51005.35000000,51120.01000000,727.24119600,1613576699999,37165810.00694921,19152,375.50357300,19191066.38836372,0
1613576700000,51120.00000000,51200.00000000,50968.87000000,51169.97000000,618.05231100,1613577599999,31581231.06561597,17797,312.88581300,15988338.06455250,0
1613577600000,51169.97000000,51435.09000000,50907.65000000,50986.12000000,1140.26399500,1613578499999,58329166.83255452,31170,531.53472800,27188229.73750997,0
1613578500000,50986.12000000,51005.00000000,50780.00000000,50986.94000000,809.58620500,1613579399999,41202232.96760271,22018,363.68146300,18509572.38709376,0
1613579400000,50986.94000000,51189.26000000,50941.33000000,51176.36000000,629.29166300,1613580299999,32153039.81070125,17020,262.75990300,13425346.44460731,0
1613580300000,51176.37000000,51300.00000000,50980.00000000,51241.35000000,634.46633800,1613581199999,32438686.72900314,17490,274.21641800,14024487.31336646,0
1613581200000,51241.35000000,51315.00000000,51140.00000000,51313.28000000,874.39595300,1613582099999,44810772.59921202,22170,489.68389700,25095689.94668904,0
1613582100000,51314.99000000,51384.00000000,51160.58000000,51224.97000000,600.49096800,1613582999999,30780642.72604593,17340,297.36794900,15244594.77278632,0
1613583000000,51224.97000000,51296.44000000,51085.95000000,51238.96000000,387.11650100,1613583899999,19814918.35301050,13937,187.69372400,9608414.28507227,0
1613583900000,51238.94000000,51436.00000000,51193.04000000,51376.85000000,521.38148800,1613584799999,26766952.71068309,16559,274.05198800,14069086.25891279,0
1613584800000,51380.78000000,51490.00000000,51304.96000000,51489.99000000,409.61886000,1613585699999,21057371.82533224,14270,235.15353100,12089221.01580390,0
1613585700000,51489.99000000,51780.00000000,51432.71000000,51513.67000000,1164.70974000,1613586599999,60098902.30355876,30945,728.36068500,37581528.54199294,0
1613586600000,51513.67000000,51675.64000000,51414.43000000,51451.44000000,472.46692200,1613587499999,24337090.92515086,15366,240.89859200,12410280.50331505,0
1613587500000,51451.44000000,51534.92000000,51310.01000000,51430.59000000,408.55122400,1613588399999,21004811.71600755,13272,213.56895300,10980463.35605475,0
1613588400000,51430.59000000,51664.88000000,51374.56000000,51530.14000000,459.53630600,1613589299999,23671565.44833333,14508,246.44082600,12695001.60703394,0
1613589300000,51530.14000000,51837.16000000,51530.14000000,51806.86000000,678.03047100,1613590199999,35045574.46570860,19648,366.15996300,18926988.42319074,0
1613590200000,51806.86000000,52320.00000000,51803.51000000,52262.74000000,2744.07354500,1613591099999,142900255.79087712,57987,1545.47374400,80497055.95009933,0
1613591100000,52262.74000000,52395.00000000,52106.28000000,52142.35000000,1006.20128700,1613591999999,52555387.08313189,27665,515.94794200,26953894.36011521,0
1613592000000,52142.36000000,52291.44000000,51956.82000000,52222.20000000,937.90476100,1613592899999,48833935.32118835,27106,565.95664500,29467133.60368200,0
1613592900000,52222.19000000,52546.00000000,52124.06000000,52330.01000000,1016.39620300,1613593799999,53221784.83351570,31987,566.02745300,29645815.60043233,0
1613593800000,52330.00000000,52500.00000000,52221.24000000,52379.86000000,584.22264900,1613594699999,30588634.16447790,20599,268.21734800,14043504.33821766,0
